"","F074.IPC.VAR.Z.Z.C.M","F074.IPCSAE.VAR.Z.Z.C.M"
"englishTitle","Historical Headline CPI, monthly variation","Historical IPCSAE, monthly variation"
"frequency","MONTHLY","MONTHLY"
"observed","AVERAGED","AVERAGED"
"01-01-1945","-0.5",NA
"01-02-1945","0.5",NA
"01-03-1945"," 1",NA
"01-04-1945"," 1",NA
"01-05-1945","0.5",NA
"01-06-1945","0.9",NA
"01-07-1945"," 0",NA
"01-08-1945","0.9",NA
"01-09-1945","4.1",NA
"01-10-1945","3.1",NA
"01-11-1945","-5.2",NA
"01-12-1945","1.4",NA
"01-01-1946","1.4",NA
"01-02-1946","-0.9",NA
"01-03-1946","0.9",NA
"01-04-1946","2.2",NA
"01-05-1946","2.2",NA
"01-06-1946","3.4",NA
"01-07-1946","1.6",NA
"01-08-1946","3.2",NA
"01-09-1946","4.7",NA
"01-10-1946"," 3",NA
"01-11-1946","0.7",NA
"01-12-1946","4.3",NA
"01-01-1947","5.2",NA
"01-02-1947","-0.7",NA
"01-03-1947","4.6",NA
"01-04-1947","1.9",NA
"01-05-1947","2.8",NA
"01-06-1947","0.3",NA
"01-07-1947","1.8",NA
"01-08-1947","2.3",NA
"01-09-1947","1.2",NA
"01-10-1947","-0.6",NA
"01-11-1947"," 2",NA
"01-12-1947","0.3",NA
"01-01-1948","0.8",NA
"01-02-1948","2.2",NA
"01-03-1948","2.2",NA
"01-04-1948","1.6",NA
"01-05-1948","0.3",NA
"01-06-1948","0.8",NA
"01-07-1948","2.6",NA
"01-08-1948","2.8",NA
"01-09-1948","3.2",NA
"01-10-1948"," 0",NA
"01-11-1948","-0.7",NA
"01-12-1948"," 0",NA
"01-01-1949","2.4",NA
"01-02-1949","0.7",NA
"01-03-1949","1.4",NA
"01-04-1949","4.8",NA
"01-05-1949","1.1",NA
"01-06-1949","1.3",NA
"01-07-1949","0.2",NA
"01-08-1949","2.1",NA
"01-09-1949","0.4",NA
"01-10-1949","3.9",NA
"01-11-1949"," 1",NA
"01-12-1949","-0.4",NA
"01-01-1950"," 0",NA
"01-02-1950","-1.2",NA
"01-03-1950","1.8",NA
"01-04-1950","1.2",NA
"01-05-1950","1.2",NA
"01-06-1950","1.7",NA
"01-07-1950","1.9",NA
"01-08-1950","1.3",NA
"01-09-1950","0.5",NA
"01-10-1950","10.2",NA
"01-11-1950","-2.1",NA
"01-12-1950","-0.7",NA
"01-01-1951","-0.2",NA
"01-02-1951","2.2",NA
"01-03-1951","0.8",NA
"01-04-1951","0.7",NA
"01-05-1951","2.5",NA
"01-06-1951","2.1",NA
"01-07-1951","3.1",NA
"01-08-1951","5.2",NA
"01-09-1951","6.1",NA
"01-10-1951","1.6",NA
"01-11-1951","-3.2",NA
"01-12-1951","0.6",NA
"01-01-1952","0.3",NA
"01-02-1952","0.7",NA
"01-03-1952","1.9",NA
"01-04-1952","2.3",NA
"01-05-1952","5.5",NA
"01-06-1952","0.8",NA
"01-07-1952","2.7",NA
"01-08-1952","1.1",NA
"01-09-1952","3.5",NA
"01-10-1952","0.7",NA
"01-11-1952","-1",NA
"01-12-1952","-6.5",NA
"01-01-1953","4.5",NA
"01-02-1953","0.8",NA
"01-03-1953","0.4",NA
"01-04-1953","1.3",NA
"01-05-1953","2.2",NA
"01-06-1953","3.3",NA
"01-07-1953","7.2",NA
"01-08-1953","6.5",NA
"01-09-1953","9.1",NA
"01-10-1953","5.5",NA
"01-11-1953","4.2",NA
"01-12-1953","0.9",NA
"01-01-1954","4.6",NA
"01-02-1954","1.5",NA
"01-03-1954","7.4",NA
"01-04-1954","7.6",NA
"01-05-1954","3.3",NA
"01-06-1954","4.2",NA
"01-07-1954","4.7",NA
"01-08-1954","8.5",NA
"01-09-1954","3.2",NA
"01-10-1954","4.4",NA
"01-11-1954","3.6",NA
"01-12-1954","2.3",NA
"01-01-1955","3.4",NA
"01-02-1955","4.5",NA
"01-03-1955","6.4",NA
"01-04-1955","8.9",NA
"01-05-1955","4.7",NA
"01-06-1955","4.6",NA
"01-07-1955","2.2",NA
"01-08-1955","3.9",NA
"01-09-1955","7.7",NA
"01-10-1955"," 6",NA
"01-11-1955","6.1",NA
"01-12-1955","4.2",NA
"01-01-1956","3.6",NA
"01-02-1956"," 1",NA
"01-03-1956","1.3",NA
"01-04-1956","2.3",NA
"01-05-1956","2.1",NA
"01-06-1956","2.7",NA
"01-07-1956","2.6",NA
"01-08-1956","5.2",NA
"01-09-1956","7.2",NA
"01-10-1956","5.2",NA
"01-11-1956","-0.3",NA
"01-12-1956","-0.3",NA
"01-01-1957","-0.4",NA
"01-02-1957","0.4",NA
"01-03-1957","2.6",NA
"01-04-1957"," 5",NA
"01-05-1957","2.2",NA
"01-06-1957","3.7",NA
"01-07-1957","4.6",NA
"01-08-1957","2.6",NA
"01-09-1957","12.2",NA
"01-10-1957","-6.5",NA
"01-11-1957","-6.5",NA
"01-12-1957","-2.4",NA
"01-01-1958","3.1",NA
"01-02-1958","3.3",NA
"01-03-1958","2.8",NA
"01-04-1958","2.9",NA
"01-05-1958","2.6",NA
"01-06-1958","1.3",NA
"01-07-1958","1.2",NA
"01-08-1958","2.5",NA
"01-09-1958","2.3",NA
"01-10-1958","2.3",NA
"01-11-1958","2.6",NA
"01-12-1958","1.7",NA
"01-01-1959","3.2",NA
"01-02-1959","4.6",NA
"01-03-1959","4.7",NA
"01-04-1959","3.8",NA
"01-05-1959","3.2",NA
"01-06-1959","2.2",NA
"01-07-1959","4.2",NA
"01-08-1959","2.3",NA
"01-09-1959","1.4",NA
"01-10-1959","2.5",NA
"01-11-1959","-2.1",NA
"01-12-1959","-0.6",NA
"01-01-1960","1.3",NA
"01-02-1960","0.2",NA
"01-03-1960","0.5",NA
"01-04-1960","-0.9",NA
"01-05-1960","0.4",NA
"01-06-1960","-0.2",NA
"01-07-1960","2.4",NA
"01-08-1960","1.4",NA
"01-09-1960","1.1",NA
"01-10-1960","0.2",NA
"01-11-1960","-0.2",NA
"01-12-1960","-0.9",NA
"01-01-1961","1.8",NA
"01-02-1961","0.4",NA
"01-03-1961","0.7",NA
"01-04-1961","0.5",NA
"01-05-1961","0.7",NA
"01-06-1961","0.3",NA
"01-07-1961","1.3",NA
"01-08-1961","1.1",NA
"01-09-1961","1.3",NA
"01-10-1961","0.9",NA
"01-11-1961","-0.1",NA
"01-12-1961","0.2",NA
"01-01-1962","1.7",NA
"01-02-1962","0.9",NA
"01-03-1962","0.6",NA
"01-04-1962","0.1",NA
"01-05-1962","0.9",NA
"01-06-1962","1.4",NA
"01-07-1962","0.9",NA
"01-08-1962","1.4",NA
"01-09-1962","2.8",NA
"01-10-1962","6.4",NA
"01-11-1962","6.3",NA
"01-12-1962","1.6",NA
"01-01-1963","3.2",NA
"01-02-1963","5.8",NA
"01-03-1963","3.1",NA
"01-04-1963","2.5",NA
"01-05-1963","3.6",NA
"01-06-1963","1.6",NA
"01-07-1963","2.5",NA
"01-08-1963","2.9",NA
"01-09-1963","4.5",NA
"01-10-1963","1.4",NA
"01-11-1963","4.1",NA
"01-12-1963"," 3",NA
"01-01-1964","1.4",NA
"01-02-1964","9.8",NA
"01-03-1964","4.7",NA
"01-04-1964","2.8",NA
"01-05-1964"," 1",NA
"01-06-1964","2.2",NA
"01-07-1964","2.3",NA
"01-08-1964","2.5",NA
"01-09-1964","2.5",NA
"01-10-1964","3.4",NA
"01-11-1964","-1.1",NA
"01-12-1964","1.8",NA
"01-01-1965","1.2",NA
"01-02-1965","2.1",NA
"01-03-1965","3.6",NA
"01-04-1965","6.9",NA
"01-05-1965","1.8",NA
"01-06-1965","0.1",NA
"01-07-1965","0.6",NA
"01-08-1965","2.3",NA
"01-09-1965","0.9",NA
"01-10-1965","1.9",NA
"01-11-1965","1.7",NA
"01-12-1965","0.4",NA
"01-01-1966","2.6",NA
"01-02-1966","2.9",NA
"01-03-1966","2.3",NA
"01-04-1966","1.4",NA
"01-05-1966"," 1",NA
"01-06-1966"," 2",NA
"01-07-1966","2.2",NA
"01-08-1966","1.5",NA
"01-09-1966","3.5",NA
"01-10-1966","-0.3",NA
"01-11-1966","-1.4",NA
"01-12-1966","-1.7",NA
"01-01-1967","2.8",NA
"01-02-1967","2.7",NA
"01-03-1967","1.8",NA
"01-04-1967"," 2",NA
"01-05-1967","2.2",NA
"01-06-1967","2.3",NA
"01-07-1967","2.3",NA
"01-08-1967","0.1",NA
"01-09-1967","2.8",NA
"01-10-1967","0.8",NA
"01-11-1967","0.1",NA
"01-12-1967","0.1",NA
"01-01-1968","5.7",NA
"01-02-1968","2.7",NA
"01-03-1968","1.5",NA
"01-04-1968","2.5",NA
"01-05-1968","2.3",NA
"01-06-1968"," 3",NA
"01-07-1968","2.8",NA
"01-08-1968","1.2",NA
"01-09-1968","1.2",NA
"01-10-1968","1.4",NA
"01-11-1968","1.3",NA
"01-12-1968","-0.4",NA
"01-01-1969","4.9",NA
"01-02-1969","5.4",NA
"01-03-1969","3.1",NA
"01-04-1969","3.1",NA
"01-05-1969","2.6",NA
"01-06-1969","2.3",NA
"01-07-1969","1.2",NA
"01-08-1969","1.5",NA
"01-09-1969","0.5",NA
"01-10-1969","0.4",NA
"01-11-1969","0.8",NA
"01-12-1969","0.3",NA
"01-01-1970","6.8",NA
"01-02-1970","5.1",NA
"01-03-1970","3.5",NA
"01-04-1970","2.4",NA
"01-05-1970","2.1",NA
"01-06-1970"," 2",NA
"01-07-1970","1.9",NA
"01-08-1970","2.5",NA
"01-09-1970","2.7",NA
"01-10-1970","0.9",NA
"01-11-1970","0.6",NA
"01-12-1970"," 0",NA
"01-01-1971","1.4",NA
"01-02-1971","0.7",NA
"01-03-1971","1.2",NA
"01-04-1971","2.5",NA
"01-05-1971","2.8",NA
"01-06-1971"," 2",NA
"01-07-1971","0.3",NA
"01-08-1971","1.1",NA
"01-09-1971","1.1",NA
"01-10-1971","1.7",NA
"01-11-1971","2.7",NA
"01-12-1971","2.8",NA
"01-01-1972","3.7",NA
"01-02-1972","6.5",NA
"01-03-1972","2.7",NA
"01-04-1972","5.7",NA
"01-05-1972","4.3",NA
"01-06-1972","2.1",NA
"01-07-1972","4.5",NA
"01-08-1972","22.7",NA
"01-09-1972","22.2",NA
"01-10-1972","15.2",NA
"01-11-1972","5.6",NA
"01-12-1972","8.3",NA
"01-01-1973","10.3",NA
"01-02-1973","4.1",NA
"01-03-1973","6.2",NA
"01-04-1973","10.2",NA
"01-05-1973","19.4",NA
"01-06-1973","15.7",NA
"01-07-1973","15.3",NA
"01-08-1973","17.1",NA
"01-09-1973","16.9",NA
"01-10-1973","87.6",NA
"01-11-1973","5.7",NA
"01-12-1973","4.7",NA
"01-01-1974","14.1",NA
"01-02-1974","24.5",NA
"01-03-1974","14.2",NA
"01-04-1974","15.3",NA
"01-05-1974","8.7",NA
"01-06-1974","20.8",NA
"01-07-1974","11.5",NA
"01-08-1974","10.9",NA
"01-09-1974","12.8",NA
"01-10-1974","18.9",NA
"01-11-1974","9.7",NA
"01-12-1974","6.5",NA
"01-01-1975","13.9",NA
"01-02-1975","16.5",NA
"01-03-1975","21.2",NA
"01-04-1975","20.8",NA
"01-05-1975","16",NA
"01-06-1975","19.8",NA
"01-07-1975","9.3",NA
"01-08-1975","8.9",NA
"01-09-1975","9.2",NA
"01-10-1975","8.4",NA
"01-11-1975","8.2",NA
"01-12-1975","7.1",NA
"01-01-1976","10.5",NA
"01-02-1976","10.1",NA
"01-03-1976","13.5",NA
"01-04-1976","11.9",NA
"01-05-1976","9.8",NA
"01-06-1976","12.3",NA
"01-07-1976","8.9",NA
"01-08-1976","5.5",NA
"01-09-1976","7.6",NA
"01-10-1976","6.7",NA
"01-11-1976","3.8",NA
"01-12-1976","5.1",NA
"01-01-1977","5.9",NA
"01-02-1977","5.8",NA
"01-03-1977","6.1",NA
"01-04-1977","4.7",NA
"01-05-1977","3.8",NA
"01-06-1977","3.3",NA
"01-07-1977","3.9",NA
"01-08-1977","3.4",NA
"01-09-1977","3.7",NA
"01-10-1977","4.2",NA
"01-11-1977","2.2",NA
"01-12-1977","3.1",NA
"01-01-1978","1.8",NA
"01-02-1978","2.4",NA
"01-03-1978","2.9",NA
"01-04-1978","2.6",NA
"01-05-1978","2.1",NA
"01-06-1978"," 2",NA
"01-07-1978","2.5",NA
"01-08-1978","2.8",NA
"01-09-1978","2.9",NA
"01-10-1978","1.9",NA
"01-11-1978","1.3",NA
"01-12-1978","1.5",NA
"01-01-1979","2.2",NA
"01-02-1979","1.6",NA
"01-03-1979","2.8",NA
"01-04-1979","2.6",NA
"01-05-1979","2.5",NA
"01-06-1979","2.5",NA
"01-07-1979","3.6",NA
"01-08-1979","4.7",NA
"01-09-1979","3.9",NA
"01-10-1979","2.4",NA
"01-11-1979","2.1",NA
"01-12-1979","2.2",NA
"01-01-1980","2.1",NA
"01-02-1980","1.8",NA
"01-03-1980","2.9",NA
"01-04-1980","2.5",NA
"01-05-1980","2.3",NA
"01-06-1980","1.9",NA
"01-07-1980"," 2",NA
"01-08-1980","2.2",NA
"01-09-1980","2.1",NA
"01-10-1980","2.9",NA
"01-11-1980","2.6",NA
"01-12-1980","1.9",NA
"01-01-1981","1.6",NA
"01-02-1981","0.3",NA
"01-03-1981","0.8",NA
"01-04-1981","1.2",NA
"01-05-1981","1.3",NA
"01-06-1981","0.1",NA
"01-07-1981","0.6",NA
"01-08-1981","1.2",NA
"01-09-1981","0.9",NA
"01-10-1981","0.3",NA
"01-11-1981","0.2",NA
"01-12-1981","0.5",NA
"01-01-1982","0.7",NA
"01-02-1982","-0.8",NA
"01-03-1982","0.4",NA
"01-04-1982","-0.1",NA
"01-05-1982","-0.5",NA
"01-06-1982","0.7",NA
"01-07-1982"," 2",NA
"01-08-1982","3.2",NA
"01-09-1982","4.3",NA
"01-10-1982","4.8",NA
"01-11-1982","3.3",NA
"01-12-1982","1.2",NA
